Frame,Track_ID,Right_Wrist_X,Right_Wrist_Y,Left_Wrist_X,Left_Wrist_Y
0,1,1032.2882080078125,495.69842529296875,1269.5228271484375,551.6516723632812
0,2,552.8941040039062,480.13763427734375,769.3151245117188,459.0611877441406
0,3,587.791748046875,117.97334289550781,719.8903198242188,149.05245971679688
1,1,1027.3382568359375,491.99725341796875,1260.5380859375,554.6010131835938
1,2,549.4712524414062,478.0550231933594,770.4308471679688,457.3260498046875
1,3,584.8220825195312,110.88800811767578,705.4559326171875,150.80645751953125
2,1,1028.1898193359375,486.89141845703125,1256.9241943359375,547.2570190429688
2,2,549.3707885742188,476.4854431152344,774.014404296875,457.6961669921875
2,3,588.8245849609375,117.6867904663086,694.20263671875,150.854248046875
3,1,1036.2607421875,472.45343017578125,1265.9398193359375,529.7008056640625
3,2,551.06884765625,475.07470703125,778.4215698242188,451.9060974121094
3,3,595.9724731445312,120.1893310546875,700.9744873046875,145.87538146972656
4,1,1035.00341796875,490.07659912109375,1262.741943359375,535.7315063476562
4,2,549.5294799804688,474.5769958496094,784.83837890625,452.8053283691406
4,3,596.4012451171875,129.6998291015625,708.4450073242188,145.43165588378906
5,1,1037.918212890625,491.72918701171875,1266.743896484375,524.6801147460938
5,2,559.0531005859375,474.4737854003906,788.3578491210938,467.9075622558594
5,3,594.0137329101562,133.19912719726562,712.1655883789062,145.29713439941406
6,1,1037.720947265625,500.2220153808594,1264.9100341796875,522.7489624023438
6,2,565.761474609375,473.2104187011719,789.3434448242188,464.12811279296875
6,3,599.1586303710938,119.40522766113281,714.447998046875,138.7476348876953
7,1,1052.78515625,507.80474853515625,1266.2681884765625,519.72265625
7,2,561.8822631835938,471.7866516113281,786.1619262695312,461.66729736328125
7,3,637.837158203125,128.29647827148438,719.6174926757812,129.43014526367188
8,1,1068.80126953125,520.3192749023438,1269.2025146484375,513.350830078125
8,2,562.7293701171875,471.18505859375,724.5082397460938,470.1364440917969
8,3,643.0386962890625,120.93103790283203,729.123046875,127.52986907958984
9,1,1090.7073974609375,528.62744140625,1268.906494140625,508.7030029296875
9,2,565.9599609375,466.6852722167969,780.857421875,454.8694152832031
9,3,645.8251342773438,126.38433837890625,739.7449340820312,119.97396087646484
10,1,1101.9842529296875,532.7398071289062,1272.519775390625,506.59161376953125
10,2,565.900390625,468.2347717285156,649.6602172851562,461.1432800292969
10,3,626.5086059570312,138.53741455078125,752.0245971679688,121.38087463378906
11,1,1111.5323486328125,533.7196044921875,1273.6114501953125,505.3660888671875
11,2,571.8068237304688,464.0928039550781,628.1043090820312,458.4544982910156
11,3,629.8369750976562,143.7172393798828,746.677978515625,121.80467224121094
12,1,1106.70751953125,531.0881958007812,1277.3634033203125,503.4641418457031
12,2,569.2891845703125,463.1488037109375,614.4053955078125,456.7201232910156
12,3,652.1886596679688,135.2517547607422,752.8193359375,114.71587371826172
13,1,1100.7147216796875,528.7996826171875,1273.3973388671875,506.8330993652344
13,2,569.0858154296875,460.1107482910156,609.017578125,457.9696960449219
13,3,616.20654296875,142.63040161132812,785.4891967773438,104.18429565429688
14,1,1103.99169921875,531.753173828125,1270.1500244140625,507.33782958984375
14,2,573.2418823242188,458.6837463378906,607.7349853515625,453.1388244628906
14,3,632.8756713867188,141.36663818359375,764.4369506835938,109.53814697265625
15,1,1102.72607421875,532.4304809570312,1269.1673583984375,510.8438415527344
15,2,571.757080078125,458.79168701171875,611.436767578125,451.8324890136719
15,3,621.1961669921875,143.7220916748047,785.7056884765625,100.75570678710938
16,1,1093.03857421875,524.3718872070312,1270.9859619140625,516.895751953125
16,2,567.1829833984375,459.4248962402344,621.7998657226562,447.5449523925781
16,3,629.2703247070312,145.46047973632812,796.8734130859375,92.0320816040039
17,1,1104.80126953125,527.9978637695312,1269.644287109375,523.2845458984375
17,2,571.0758056640625,461.9759216308594,641.0639038085938,460.45867919921875
17,3,653.2720336914062,124.23099517822266,818.5917358398438,77.07685089111328
18,1,1111.54833984375,539.4592895507812,1271.4482421875,523.8330688476562
18,2,566.4161376953125,462.9248962402344,636.0860595703125,462.6659851074219
18,3,668.8526000976562,117.00173950195312,835.584228515625,38.48756790161133
19,1,1112.1436767578125,539.7321166992188,1272.1978759765625,530.7015991210938
19,2,565.68212890625,464.64117431640625,628.744140625,463.4286804199219
19,3,656.4575805664062,120.86470031738281,850.4647216796875,26.050243377685547
20,1,1105.926513671875,535.281494140625,1270.316650390625,533.8147583007812
20,2,563.3968505859375,464.9724426269531,622.777587890625,466.493408203125
20,3,643.0401000976562,124.31721496582031,,
21,1,1111.748779296875,539.2081909179688,1274.5040283203125,547.0166625976562
21,2,560.242431640625,467.47894287109375,628.852294921875,465.8100891113281
21,3,645.769775390625,135.7939453125,,
22,1,1121.9329833984375,539.5216064453125,1275.880859375,543.4276123046875
22,2,573.2730102539062,470.5488586425781,626.0693969726562,473.013427734375
22,3,646.50244140625,143.79486083984375,,
23,1,1120.0059814453125,536.287353515625,1273.4241943359375,544.6951293945312
23,2,557.9892578125,475.5250244140625,639.9115600585938,479.3621520996094
23,3,638.1757202148438,143.2399444580078,,
24,1,1119.232666015625,529.1948852539062,1274.7901611328125,543.7608642578125
24,2,551.5232543945312,471.6184387207031,675.4746704101562,492.9342346191406
24,3,668.497314453125,124.1531982421875,,
25,1,1127.78173828125,519.340087890625,1276.240478515625,543.4486083984375
25,2,542.6240234375,469.7599182128906,705.6793823242188,495.2558288574219
25,3,665.7465209960938,111.47685241699219,,
26,1,1137.505859375,520.6923828125,1283.2127685546875,540.84912109375
26,2,535.9166870117188,473.31402587890625,613.3567504882812,512.7513427734375
26,3,641.5339965820312,132.5653839111328,,
27,1,1125.783935546875,506.0531005859375,1278.4180908203125,541.7664184570312
27,2,536.4220581054688,471.38409423828125,665.9296875,538.533935546875
27,3,642.77978515625,133.42140197753906,,
28,1,1122.794677734375,502.8675842285156,1278.7156982421875,538.3966064453125
28,2,540.8516845703125,472.1144104003906,665.3461303710938,539.5143432617188
28,3,633.6353759765625,131.67747497558594,,
29,1,1121.1812744140625,502.9091491699219,1277.6925048828125,535.5829467773438
29,2,549.4798583984375,466.6416015625,759.3029174804688,463.67822265625
29,3,640.7997436523438,139.92156982421875,,
30,1,1125.548583984375,496.3614196777344,1280.976806640625,531.4152221679688
30,2,552.2764282226562,460.5982971191406,757.9814453125,478.0791931152344
30,3,641.227783203125,138.5587921142578,,
31,1,1133.087158203125,500.9661560058594,1284.247802734375,529.2957763671875
31,2,541.6838989257812,458.032470703125,750.4918212890625,499.2973327636719
31,3,649.8414306640625,125.32559967041016,720.2734985351562,72.39081573486328
32,1,1129.2470703125,497.0660705566406,1283.9080810546875,527.90185546875
32,2,537.893798828125,448.3045654296875,743.5302734375,513.2061157226562
32,3,663.0028076171875,102.537353515625,,
33,1,1115.151123046875,493.9854736328125,1311.0205078125,510.664306640625
33,2,536.4641723632812,448.8984680175781,748.6347045898438,509.7026062011719
